ISBN,title,author,year,publisher,image,content
0440234743,The Testament,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,The Testament John Grisham Dell
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg,Beloved (Plume Contemporary Fiction) Toni Morrison Plume
0971880107,Wild Animus,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,Wild Animus Rich Shapero Too Far
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,Airframe Michael Crichton Ballantine Books
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,Timeline MICHAEL CRICHTON Ballantine Books
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,To Kill a Mockingbird Harper Lee Little Brown &amp; Company
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,Seabiscuit: An American Legend LAURA HILLENBRAND Ballantine Books
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg,Pigs in Heaven Barbara Kingsolver Harpercollins
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg,I'll Be Seeing You Mary Higgins Clark Pocket
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg,From the Corner of His Eye Dean Koontz Bantam Books
0425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,Isle of Dogs Patricia Cornwell Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg,Purity in Death J.D. Robb Berkley Publishing Group
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg,This Year It Will Be Different: And Other Stories Maeve Binchy Dell
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) Tim Lahaye Tyndale House Publishers
0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,The Street Lawyer JOHN GRISHAM Dell
0671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg,LONESOME DOVE Larry McMurtry Pocket
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg,Breathing Lessons Anne Tyler Berkley Publishing Group
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,The Joy Luck Club Amy Tan Prentice Hall (K-12)
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,The Tao of Pooh Benjamin Hoff Penguin Books
0345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg,Seabiscuit LAURA HILLENBRAND Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) H. Jackson Brown Thomas Nelson
0441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg,Starship Troopers Robert A. Heinlein Ace Books
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,"The Catcher in the Rye J.D. Salinger Little, Brown"
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,Midnight in the Garden of Good and Evil: A Savannah Story John Berendt Random House
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,Pretend You Don't See Her Mary Higgins Clark Pocket
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not! Robert T. Kiyosaki Warner Books"
0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,The Pillars of the Earth Ken Follett Signet Book
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,Corelli's Mandolin : A Novel LOUIS DE BERNIERES Vintage
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,The Five People You Meet in Heaven Mitch Albom Hyperion
0446608653,The Alibi,Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg,The Alibi Sandra Brown Warner Books
0446612545,The Beach House,James Patterson,2003,Warner Books,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,The Beach House James Patterson Warner Books
0553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books,http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg,Dead Aim IRIS JOHANSEN Bantam Books
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,Angels &amp; Demons Dan Brown Pocket Star
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002,Pocket,http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder Ann Rule Pocket"
0380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380619458.01.MZZZZZZZ.jpg,The Mosquito Coast Paul Theroux Harper Mass Market Paperbacks (Mm)
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,The Girl Who Loved Tom Gordon Stephen King Pocket
0425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg,The Sum of All Fears Tom Clancy Berkley Publishing Group
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,One Hundred Years of Solitude Gabriel Garcia Marquez Perennial
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,Little Altars Everywhere: A Novel Rebecca Wells Perennial
